target,features,metric,t,mean,std,n_seeds
predictability (Gt-Margin),t alone,r2,all,0.0956,0.0056,5
predictability (Gt-Margin),t alone,rho,all,0.2629,0.0078,5
predictability (Gt-Margin),t alone,r2,0.20000000298023224,-0.0012,0.0014,5
predictability (Gt-Margin),t alone,r2,0.5,-0.0005,0.0004,5
predictability (Gt-Margin),t alone,r2,0.800000011920929,-0.0002,0.0003,5
predictability (Gt-Margin),output,r2,all,0.5924,0.0068,5
predictability (Gt-Margin),output,rho,all,0.5223,0.0088,5
predictability (Gt-Margin),output,r2,0.20000000298023224,0.6044,0.0135,5
predictability (Gt-Margin),output,r2,0.5,0.5865,0.0101,5
predictability (Gt-Margin),output,r2,0.800000011920929,0.4863,0.0120,5
predictability (Gt-Margin),output + t,r2,all,0.5929,0.0069,5
predictability (Gt-Margin),output + t,rho,all,0.5225,0.0086,5
predictability (Gt-Margin),output + t,r2,0.20000000298023224,0.6044,0.0135,5
predictability (Gt-Margin),output + t,r2,0.5,0.5865,0.0101,5
predictability (Gt-Margin),output + t,r2,0.800000011920929,0.4863,0.0120,5
predictability (Gt-Margin),hidden pca50,r2,all,0.3861,0.0072,5
predictability (Gt-Margin),hidden pca50,rho,all,0.4860,0.0063,5
predictability (Gt-Margin),hidden pca50,r2,0.20000000298023224,0.2949,0.0190,5
predictability (Gt-Margin),hidden pca50,r2,0.5,0.3546,0.0129,5
predictability (Gt-Margin),hidden pca50,r2,0.800000011920929,0.3184,0.0108,5
predictability (Gt-Margin),output + t + hidden pca50,r2,all,0.6051,0.0076,5
predictability (Gt-Margin),output + t + hidden pca50,rho,all,0.5395,0.0084,5
predictability (Gt-Margin),output + t + hidden pca50,r2,0.20000000298023224,0.6053,0.0148,5
predictability (Gt-Margin),output + t + hidden pca50,r2,0.5,0.5945,0.0116,5
predictability (Gt-Margin),output + t + hidden pca50,r2,0.800000011920929,0.5054,0.0119,5
readiness (wait gain),t alone,r2,all,0.0475,0.0059,5
readiness (wait gain),t alone,rho,all,0.2038,0.0164,5
readiness (wait gain),t alone,r2,0.20000000298023224,-0.0030,0.0051,5
readiness (wait gain),t alone,r2,0.5,-0.0006,0.0006,5
readiness (wait gain),t alone,r2,0.800000011920929,-0.0010,0.0015,5
readiness (wait gain),output,r2,all,0.0544,0.0044,5
readiness (wait gain),output,rho,all,0.1834,0.0136,5
readiness (wait gain),output,r2,0.20000000298023224,0.0308,0.0065,5
readiness (wait gain),output,r2,0.5,0.0502,0.0061,5
readiness (wait gain),output,r2,0.800000011920929,0.0477,0.0059,5
readiness (wait gain),output + t,r2,all,0.0860,0.0058,5
readiness (wait gain),output + t,rho,all,0.2681,0.0167,5
readiness (wait gain),output + t,r2,0.20000000298023224,0.0308,0.0065,5
readiness (wait gain),output + t,r2,0.5,0.0502,0.0061,5
readiness (wait gain),output + t,r2,0.800000011920929,0.0477,0.0059,5
readiness (wait gain),hidden pca50,r2,all,0.0881,0.0089,5
readiness (wait gain),hidden pca50,rho,all,0.2718,0.0193,5
readiness (wait gain),hidden pca50,r2,0.20000000298023224,0.0655,0.0118,5
readiness (wait gain),hidden pca50,r2,0.5,0.0653,0.0127,5
readiness (wait gain),hidden pca50,r2,0.800000011920929,0.0398,0.0050,5
readiness (wait gain),output + t + hidden pca50,r2,all,0.1213,0.0094,5
readiness (wait gain),output + t + hidden pca50,rho,all,0.3188,0.0210,5
readiness (wait gain),output + t + hidden pca50,r2,0.20000000298023224,0.0765,0.0139,5
readiness (wait gain),output + t + hidden pca50,r2,0.5,0.0930,0.0143,5
readiness (wait gain),output + t + hidden pca50,r2,0.800000011920929,0.0748,0.0079,5
